allergyName,allergyDescription
닭고기 알러지,닭고기 및 닭고기 함유 식품에 반응하는 알러지. 반려동물 식품 알러지 중 가장 흔한 유형
소고기 알러지,소고기 및 소고기 함유 식품에 반응하는 알러지. 피부 가려움·위장 장애 유발
돼지고기 알러지,돼지고기 및 돼지고기 함유 식품에 반응하는 알러지. 구토·설사·피부 트러블 유발 가능
양고기 알러지,양고기 및 양고기 함유 식품에 반응하는 알러지. 특정 견종에서 빈번하게 나타남
생선 알러지,연어·참치·고등어 등 생선류에 반응하는 알러지. 피부 발진·소화 장애 동반
계란 알러지,계란 및 계란 함유 식품에 반응하는 알러지. 단백질(알부민)이 주요 알러젠
유제품 알러지,우유·치즈·요거트 등 유제품에 반응하는 알러지. 유당불내증과 구분되는 면역 반응
글루텐 알러지,밀·보리·호밀 등 글루텐 함유 곡물에 반응하는 알러지. 셀리악 유사 장 염증 유발 가능
대두 알러지,두부·콩·대두박 등 대두 함유 식품에 반응하는 알러지. 사료 원료로 많이 쓰여 주의 필요
옥수수 알러지,옥수수 및 옥수수 함유 식품에 반응하는 알러지. 옥수수전분·옥수수유 포함 제품도 해당
땅콩 알러지,땅콩 및 땅콩 함유 식품에 반응하는 알러지. 심각한 아나필락시스 반응 유발 가능
참깨 알러지,참깨 및 참기름 등 참깨 함유 식품에 반응하는 알러지. 간식류 원료 확인 필수
새우·갑각류 알러지,새우·게·랍스터 등 갑각류에 반응하는 알러지. 해산물 간식 급여 시 주의
토마토 알러지,토마토 및 토마토 함유 식품에 반응하는 알러지. 솔라닌 성분으로 소화기 자극 가능
