ingredientName,ingredientDescription,ingredientCategory,petType
닭가슴살,저지방 고단백 육류. 소화가 잘 되어 반려동물에게 적합,육류,ALL
소고기,단백질과 철분이 풍부한 육류,육류,ALL
연어,오메가3 지방산이 풍부한 생선. 피부·모질 개선에 효과적,육류,ALL
참치,단백질이 풍부하나 수은 함량 주의. 소량 급여 권장,육류,CAT
오리고기,저지방 고단백 육류. 닭고기 알러지 대체제로 활용,육류,ALL
양고기,소화가 잘 되는 단백질원. 알러지 반응이 적음,육류,ALL
돼지고기,반드시 완전히 익혀서 급여. 날것은 절대 금지,육류,ALL
당근,베타카로틴·식이섬유 풍부. 눈 건강에 도움,채소,ALL
브로콜리,비타민C·항산화 성분 풍부. 소량 급여 권장,채소,ALL
고구마,복합 탄수화물·식이섬유 풍부. 소화에 좋음,채소,ALL
호박,수분과 식이섬유가 풍부. 소화 촉진에 도움,채소,ALL
시금치,철분·엽산 풍부. 과다 급여 시 신장 결석 주의,채소,ALL
완두콩,단백질·식이섬유 풍부. 소량 급여 권장,채소,ALL
감자,탄수화물 공급원. 반드시 익혀서 급여,채소,ALL
현미,식이섬유 풍부한 복합 탄수화물,곡물,ALL
귀리,식이섬유·단백질 풍부. 소화에 좋음,곡물,ALL
보리,글루텐 함유 곡물. 글루텐 알러지 주의,곡물,ALL
플레인 요거트,유산균 풍부. 유제품 알러지 없는 경우만 급여,유제품,ALL
코티지 치즈,저지방 고단백 유제품. 소량 급여 권장,유제품,ALL
블루베리,항산화 성분 풍부한 과일. 소량 간식으로 적합,과일,ALL
사과,식이섬유 풍부. 씨앗 제거 후 급여 필수,과일,ALL
바나나,칼륨·식이섬유 풍부. 당분이 높아 소량만 급여,과일,ALL
수박,수분 보충에 좋음. 씨앗·껍질 제거 필수,과일,DOG
두부,식물성 단백질 공급원. 소화가 잘 됨,기타,ALL
계란,단백질·비타민 풍부. 완전히 익혀서 급여 권장,기타,ALL
올리브오일,건강한 지방산 공급. 소량 첨가 시 모질 개선,기타,ALL
